feature 1
Overall Qual
Neighborhood
Garage Cars
Bsmt Qual
Gr Liv Area
Garage Area
Exter Qual
Kitchen Qual
Year Built
Total Bsmt SF
Full Bath
Fireplace Qu
Foundation
1st Flr SF
Garage Yr Blt
Year Remod/Add
Garage Finish
Fireplaces
2nd Flr SF
TotRms AbvGrd
BsmtFin Type 1
Garage Type
Open Porch SF
BsmtFin SF 1
Exterior 1st
Heating QC
Exterior 2nd
Mas Vnr Type
MS Zoning
Mas Vnr Area
Lot Shape
Wood Deck SF
Lot Area
Paved Drive
Sale Condition
Bsmt Exposure
Sale Type
House Style
Central Air
Half Bath
Electrical
Bsmt Unf SF
Lot Frontage
Fence
Bldg Type
Land Contour
Enclosed Porch
BsmtFin Type 2
Bsmt Full Bath
Exter Cond
Lot Config
Overall Cond
Bedroom AbvGr
Garage Qual
Garage Cond
Functional
Kitchen AbvGr
Roof Style
Heating
Condition 1
Street
Screen Porch
Misc Feature
Condition 2
Bsmt Cond
BsmtFin SF 2
Land Slope
Mo Sold
Utilities
Low Qual Fin SF
Bsmt Half Bath
Yr Sold
MS SubClass
Misc Val
Alley
Pool QC
3Ssn Porch
Pool Area
Roof Matl
